top,lat,lon,humidity,temp,accel,dust
$data,50.843406,4.328683,33.50,25.00,0.05,171
$data,50.843391,4.328733,33.50,25.00,0.05,146
$data,50.843368,4.328775,33.30,25.00,0.20,136
$data,50.843341,4.328818,33.30,25.00,0.05,348
$data,50.843318,4.328864,33.30,25.00,0.05,151
$data,50.843296,4.328913,33.30,25.00,0.00,105
$data,50.843269,4.328971,33.20,24.90,0.05,170
$data,50.843246,4.329030,33.20,24.90,0.10,140
$data,50.843212,4.329093,33.00,24.90,0.15,151
$data,50.843181,4.329154,33.00,24.90,0.05,169
$data,50.843139,4.329210,33.10,24.90,0.20,132
$data,50.843116,4.329268,33.10,24.90,0.15,158
$data,50.843090,4.329333,32.80,24.90,0.35,156
$data,50.843059,4.329397,32.80,24.90,0.10,178
$data,50.843025,4.329457,32.80,24.90,0.05,144
$data,50.842994,4.329520,32.80,24.90,0.00,201
$data,50.842960,4.329578,32.90,24.90,0.20,144
$data,50.842945,4.329642,32.90,24.90,0.00,378
$data,50.842918,4.329695,32.80,24.90,0.05,471
$data,50.842895,4.329740,32.80,24.90,0.25,164
$data,50.842872,4.329792,32.90,24.90,0.10,145
$data,50.842845,4.329843,32.90,24.90,0.35,146
$data,50.842823,4.329907,32.90,24.90,0.05,160
$data,50.842788,4.329975,32.90,24.90,0.05,144
$data,50.842716,4.330078,33.00,24.90,0.05,144
$data,50.842666,4.330133,33.10,24.90,0.10,138
$data,50.842643,4.330183,33.10,24.90,0.00,123
$data,50.842617,-10.816667,33.00,24.90,0.00,143
$data,50.842563,4.330262,33.00,24.90,0.00,130
$data,50.842529,4.330298,32.90,24.80,0.10,174
$data,50.842464,4.330298,32.90,24.80,0.15,141
$data,50.842422,4.330320,32.80,24.80,0.45,156
$data,50.842399,4.330360,32.80,24.80,0.10,153
$data,50.842308,4.330423,32.70,24.80,0.10,141
$data,50.842262,4.330483,32.80,24.80,0.20,142
$data,50.842269,4.330546,32.90,24.80,0.05,157
$data,50.842262,4.330585,32.90,24.80,0.05,190
$data,50.842327,4.330623,32.90,24.80,0.00,151
$data,50.842327,4.330628,32.90,24.80,0.00,144
$data,50.842327,4.330630,33.00,24.80,0.00,150
$data,50.842342,4.330640,33.00,24.80,0.00,124
$data,50.842357,4.330645,32.90,24.80,0.00,177
$data,50.842365,4.330643,32.90,24.80,0.00,162
$data,50.842365,4.330643,32.90,24.80,0.00,155
$data,50.842365,4.330643,33.00,24.80,0.00,154
$data,50.842365,4.330643,33.00,24.80,0.00,142
$data,50.842365,4.330643,32.90,24.80,0.00,152
$data,50.842365,4.330643,32.90,24.80,0.00,152
$data,50.842365,4.330643,32.90,24.70,0.00,139
$data,50.842365,4.330643,32.90,24.70,0.00,170
$data,50.842365,4.330643,32.90,24.70,0.00,142
$data,50.842365,4.330643,32.90,24.70,0.00,147
$data,50.842365,4.330643,32.90,24.70,0.00,168
$data,50.842365,4.330643,32.90,24.70,0.00,127
$data,50.842365,4.330643,32.90,24.70,0.00,156
$data,50.842365,4.330643,32.90,24.70,0.00,135
$data,50.842365,4.330643,32.90,24.70,0.00,154
$data,50.842365,4.330643,32.90,24.70,0.00,140
$data,50.842365,4.330643,33.00,24.70,0.00,174
$data,50.842365,4.330643,33.00,24.70,0.00,137
$data,50.842365,4.330643,33.00,24.70,0.00,173
$data,50.842365,4.330643,33.00,24.70,0.00,144
$data,50.842365,4.330643,33.00,24.70,0.00,163
$data,50.842365,4.330643,33.00,24.70,0.00,117
$data,50.842372,4.330643,33.00,24.70,0.00,156
$data,50.842372,4.330643,33.00,24.70,0.05,144
$data,50.842372,4.330643,33.00,24.70,0.00,173
$data,50.842372,4.330643,33.00,24.70,0.00,171
$data,50.842372,4.330653,33.00,24.60,0.45,168
$data,50.842357,4.330687,33.00,24.60,0.55,151
$data,50.842350,4.330713,32.80,24.70,0.85,141
$data,50.842334,4.330762,32.80,24.70,0.15,150
$data,50.842319,4.330820,32.70,24.60,0.40,149
$data,50.842300,4.330888,32.70,24.60,0.20,130
$data,50.842300,4.330956,32.70,24.60,0.30,168
$data,50.842308,4.331027,32.70,24.60,0.10,120
$data,50.842319,4.331100,32.60,24.60,0.30,165
$data,50.842292,4.331252,32.60,24.60,0.30,155
$data,50.842300,4.331334,32.60,24.60,0.20,177
$data,50.842285,4.331450,32.60,24.60,0.30,133
$data,50.842285,4.331542,32.60,24.60,0.05,157
$data,50.842300,4.331624,32.60,24.60,0.80,136
$data,50.842319,4.331698,32.40,24.60,0.20,192
$data,50.842334,4.331777,32.40,24.60,0.10,147
$data,50.842350,4.331853,32.50,24.60,0.15,180
$data,50.842372,4.331925,32.50,24.60,0.10,151
$data,50.842399,4.331995,32.50,24.60,0.25,134
$data,50.842414,4.332067,32.50,24.60,0.25,169
$data,50.842441,4.332140,32.50,24.60,0.15,160
$data,50.842456,4.332219,32.50,24.60,0.40,152
$data,50.842479,4.332304,32.50,24.60,0.20,165
$data,50.842506,4.332378,32.50,24.60,0.15,103
$data,50.842529,4.332455,32.60,24.60,0.20,139
$data,50.842552,4.332528,32.60,24.60,0.20,157
$data,50.842586,4.332595,32.50,24.50,0.30,162
$data,50.842617,4.332662,32.50,24.50,0.00,137
$data,50.842651,4.332721,32.40,24.50,0.60,146
$data,50.842674,4.332784,32.40,24.50,0.10,150
$data,50.842708,4.332847,32.30,24.50,0.05,152
$data,50.842739,4.332908,32.30,24.50,0.00,163
$data,50.842750,4.332993,32.20,24.50,0.20,137
$data,50.842773,4.333065,32.20,24.50,0.20,156
$data,50.842788,4.333138,32.30,24.50,0.30,185
$data,50.842815,4.333215,32.30,24.50,0.10,128
$data,50.842845,4.333287,32.20,24.50,0.25,154
$data,50.842887,4.333353,32.20,24.50,0.25,110
$data,50.842937,4.333408,32.40,24.50,0.25,128
$data,50.842994,4.333465,32.40,24.50,0.05,140
$data,50.843032,4.333528,32.20,24.40,0.15,130
$data,50.843074,4.333590,32.20,24.40,0.20,152
$data,50.843105,4.333652,32.30,24.50,0.15,143
$data,50.843132,4.333717,32.30,24.50,0.10,144
$data,50.843162,4.333781,32.20,24.40,0.00,150
$data,50.843189,4.333858,32.20,24.40,0.00,191
$data,50.843204,4.333935,32.10,24.40,0.10,151
$data,50.843219,4.334005,32.10,24.40,0.20,52
$data,50.843227,4.334080,32.00,24.40,0.15,155
$data,50.843254,4.334155,32.00,24.40,0.35,117
$data,50.843276,4.334231,31.90,24.40,0.10,136
$data,50.843303,4.334297,31.90,24.40,0.00,123
$data,50.843318,4.334368,31.80,24.40,0.40,155
$data,50.843334,4.334435,31.80,24.40,0.30,126
$data,50.843349,4.334512,31.90,24.40,0.30,150
$data,50.843360,4.334581,31.90,24.40,0.05,132
$data,50.843383,4.334651,31.80,24.30,0.25,175
