top,lat,lon,humidity,temp,accel,dust
$data,50.841472,4.322345,29.80,25.60,0.00,171
$data,50.841472,4.322341,29.70,25.60,0.00,180
$data,50.841472,4.322328,29.70,25.60,0.00,161
$data,50.841472,4.322320,29.70,25.60,0.45,84
$data,50.841472,4.322320,29.70,25.60,0.00,173
$data,50.841472,4.322319,29.70,25.60,0.10,158
$data,50.841480,4.322319,29.70,25.60,0.00,123
$data,50.841487,4.322319,29.30,25.60,0.10,166
$data,50.841487,4.322313,29.30,25.60,0.00,154
$data,50.841487,4.322313,29.10,25.60,0.10,220
$data,50.841495,4.322313,29.10,25.60,0.00,177
$data,50.841495,4.322310,29.00,25.70,0.00,169
$data,50.841495,4.322305,29.00,25.70,0.00,177
$data,50.841487,4.322290,29.20,25.70,0.00,158
$data,50.841487,4.322265,29.10,25.70,0.00,152
$data,50.841503,4.322263,29.00,25.70,0.00,151
$data,50.841545,4.322300,29.00,25.70,0.00,190
$data,50.841560,4.322285,29.00,25.70,0.00,160
$data,50.841567,4.322275,29.00,25.70,0.00,180
$data,50.841594,4.322287,29.00,25.70,0.00,151
$data,50.841632,4.322291,29.00,25.70,0.00,178
$data,50.841659,4.322295,29.00,25.70,0.00,187
$data,50.841690,4.322305,29.00,25.70,0.00,149
$data,50.841690,4.322295,29.10,25.70,0.15,239
$data,50.841697,4.322285,29.10,25.70,0.25,190
$data,50.841724,4.322288,29.10,25.70,1.05,203
$data,50.841747,4.322287,29.10,25.70,0.30,127
$data,50.841773,4.322285,29.30,25.80,0.75,56
$data,50.841796,4.322307,29.30,25.80,0.00,178
$data,50.841819,4.322325,29.50,25.80,0.00,188
$data,50.841846,4.322337,29.50,25.80,0.00,166
$data,50.841854,4.322332,29.70,25.80,0.45,0
$data,50.841861,4.322319,29.70,25.80,0.20,177
$data,50.841876,4.322323,29.80,25.80,0.40,318
$data,50.841884,4.322321,29.80,25.80,0.25,199
$data,50.841903,4.322321,29.80,25.90,2.20,97
$data,50.841918,4.322321,29.80,25.90,0.00,174
$data,50.841941,4.322313,29.70,25.90,0.00,312
$data,50.841960,4.322305,29.70,25.90,0.00,168
$data,50.841983,4.322297,29.40,25.90,0.00,201
$data,50.841999,4.322297,29.40,25.90,0.05,113
$data,50.842006,4.322297,29.30,25.90,0.35,157
$data,50.842025,4.322302,29.30,25.90,0.05,0
$data,50.842041,4.322307,29.20,25.90,0.00,178
$data,50.842041,4.322302,29.20,25.90,0.45,157
$data,50.842048,4.322300,29.80,25.90,0.10,0
$data,50.842063,4.322302,29.80,25.90,0.00,185
$data,50.842082,4.322307,30.00,25.90,0.00,196
$data,50.842090,4.322319,30.00,25.90,0.05,219
$data,50.842090,4.322327,30.00,26.00,0.20,128
$data,50.842082,4.322339,30.00,26.00,0.40,169
$data,50.842075,4.322349,29.80,26.00,0.10,182
$data,50.842075,4.322358,29.80,26.00,0.00,185
$data,50.842082,4.322358,29.60,26.00,0.40,181
$data,50.842090,4.322358,29.60,26.00,0.00,2
$data,50.842082,4.322349,29.40,26.00,0.00,110
$data,50.842082,4.322363,29.40,26.00,0.15,178
$data,50.842075,4.322377,29.30,26.00,0.00,179
$data,50.842327,4.322765,29.90,26.60,0.10,158
$data,50.842113,4.322818,29.90,26.60,0.05,159
$data,50.842082,4.322808,29.90,26.60,0.00,168
$data,50.842082,4.322813,29.90,26.60,0.15,171
$data,50.842082,4.322822,29.90,26.60,0.30,185
$data,50.842056,4.322828,30.00,26.60,0.15,144
$data,50.842041,4.322830,30.00,26.60,0.05,205
$data,50.842033,4.322835,29.90,26.60,0.00,156
$data,50.842025,4.322841,29.90,26.60,0.25,154
$data,50.842033,4.322846,29.70,26.60,0.00,139
$data,50.842350,4.323136,29.30,26.70,0.00,169
$data,50.842308,4.323110,29.30,26.70,0.00,172
$data,50.842300,4.323108,29.20,26.70,0.05,151
$data,50.842300,4.323088,29.20,26.70,0.00,176
$data,50.842292,4.323076,29.10,26.70,0.10,154
$data,50.842269,4.323075,29.10,26.70,0.00,171
$data,50.842220,4.323065,29.10,26.70,0.00,124
$data,50.842197,4.323049,29.10,26.70,0.00,152
$data,50.842185,4.323051,29.00,26.70,0.00,163
$data,50.842170,4.323063,29.00,26.70,0.00,178
$data,50.842163,4.323091,29.00,26.70,0.00,139
